년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2021,09,01,131650,98658,77228,21430,27.7,2021/09/01(17:00)
2021,08,12,131330,98952,86355,12597,14.6,2021/08/12(17:00)
2021,07,27,131330,100739,91141,9598,10.5,2021/07/27(18:00)
2021,06,29,129623,87573,75854,11719,15.4,2021/06/29(17:00)
2021,05,20,129540,80387,69140,11247,16.3,2021/05/20(17:00)
2021,04,12,129361,77695,69016,8679,12.6,2021/04/12(17:00)
2021,03,02,128820,92526,77208,15318,19.8,2021/03/02(10:00)
2021,02,17,128820,95992,84749,11243,13.3,2021/02/17(10:00)
2021,01,11,128209,99189,90564,8625,9.5,2021/01/11(11:00)
2020,12,16,128609,98795,85132,13663,16,2020/12/16(17:00)
2020,11,30,128609,96827,77074,19753,25.6,2020/11/30(17:00)
2020,10,21,127762,85999,68454,17545,25.6,2020/10/21(17:00)
2020,09,01,128078,96797,82036,14761,18,2020/09/01(17:00)
2020,08,26,127819,97951,89091,8860,9.9,2020/08/26(15:00)
2020,07,09,127338,97338,75675,21663,28.6,2020/07/09(17:00)
2020,06,10,126798,91874,75247,16627,22.1,2020/06/10(17:00)
2020,05,18,126580,88211,65700,22511,34.3,2020/05/18(17:00)
2020,04,17,126262,83368,66699,16669,25,2020/04/17(10:00)
2020,03,10,125887,90877,73329,17548,23.9,2020/03/10(11:00)
2020,02,06,125358,97069,81493,15576,19.1,2020/02/06(10:00)
2020,01,16,125358,94735,82352,12383,15,2020/01/16(10:00)
2019,12,06,124833,92934,81787,11147,13.6,2019/12/06(10:00)
2019,11,19,124392,87377,74393,12984,17.5,2019/11/19(17:00)
2019,10,01,122490,83471,73550,9921,13.5,2019/10/01(17:00)
2019,09,06,122973,96032,79916,16116,20.2,2019/09/06(17:00)
2019,08,13,121147,96389,90314,6075,6.7,2019/08/13(17:00)
2019,07,23,121147,95593,84164,11429,13.6,2019/07/23(17:00)
2019,06,27,120471,90520,75206,15314,20.4,2019/06/27(17:00)
2019,05,24,119826,86270,70964,15306,21.6,2019/05/24(17:00)
2019,04,10,119826,86455,73010,13445,18.4,2019/04/10(10:00)
2019,03,13,119350,90422,74136,16286,22,2019/03/13(10:00)
2019,02,19,119350,98738,82869,15869,19.1,2019/02/19(11:00)
2019,01,09,119092,100827,85392,15435,18.1,2019/01/09(10:00)
2018,12,28,119092,100841,86083,14758,17.1,2018/12/28(10:00)
2018,11,29,118266,93480,75914,17566,23.1,2018/11/29(10:00)
2018,10,30,117996,84796,70329,14467,20.6,2018/10/30(19:00)
2018,09,03,117996,94223,78405,15818,20.2,2018/09/03(17:00)
2018,08,14,117840,100250,91548,8702,9.5,2018/08/14(17:00)
2018,07,24,117205,99570,92478,7092,7.7,2018/07/24(17:00)
2018,06,25,117111,87256,76606,10650,13.9,2018/06/25(17:00)
2018,05,17,117589,82000,73173,8827,12.1,2018/05/17(15:00)
2018,04,05,116747,84634,70520,14114,20,2018/04/05(11:00)
2018,03,08,116747,90761,78855,11906,15.1,2018/03/08(11:00)
2018,02,06,116428,101148,88238,12910,14.6,2018/02/06(10:00)
2018,01,25,116428,99147,87247,11900,13.6,2018/01/25(17:00)
2017,12,12,116657,96095,85133,10962,12.9,2017/12/12(10:00)
2017,11,24,116278,92807,77605,15202,19.6,2017/11/24(10:00)
2017,10,10,115249,88736,70113,18623,26.6,2017/10/10(17:00)
2017,09,19,114206,92665,73115,19550,26.7,2017/09/19(16:00)
2017,08,07,113351,95125,84489,10636,12.6,2017/08/07(15:00)
2017,07,21,113351,94987,84586,10401,12.3,2017/07/21(17:00)
2017,06,30,113705,87888,75413,12475,16.5,2017/06/30(15:00)
2017,05,30,111292,82497,69887,12610,18,2017/05/30(15:00)
2017,04,06,110502,87916,69129,18787,27.2,2017/04/06(11:00)
2017,03,07,107098,93840,76756,17084,22.3,2017/03/07(10:00)
2017,02,10,107098,95916,81268,14648,18,2017/02/10(11:00)
2017,01,23,106238,95443,83657,11786,14.1,2017/01/23(11:00)
2016,12,16,104466,93031,79966,13065,16.3,2016/12/16(10:00)
2016,11,30,103299,85024,74959,10065,13.4,2016/11/30(11:00)
2016,10,31,103068,78563,68282,10281,15.1,2016/10/31(18:00)
2016,09,05,101025,85109,75299,9810,13,2016/09/05(17:00)
2016,08,12,100180,92395,85183,7212,8.5,2016/08/12(17:00)
2016,07,26,100180,88923,81110,7813,9.6,2016/07/26(15:00)
2016,06,23,98948,80956,72816,8140,11.2,2016/06/23(15:00)
2016,05,31,98948,80087,68011,12076,17.8,2016/05/31(15:00)
2016,04,07,98796,86048,65765,20283,30.8,2016/04/07(10:00)
2016,03,02,98796,85097,75697,9400,12.4,2016/03/02(10:00)
2016,02,02,98190,93809,80020,13789,17.2,2016/02/02(10:00)
2016,01,21,98190,94793,82972,11821,14.2,2016/01/21(11:00)
2015,12,18,97649,89191,77282,11909,15.4,2015/12/18(10:00)
2015,11,27,97649,87180,73965,13215,17.9,2015/11/27(11:00)
2015,10,01,96828,80604,65322,15282,23.4,2015/10/01(17:00)
2015,09,01,96828,85102,72991,12111,16.6,2015/09/01(15:00)
2015,08,07,96828,89595,76916,12679,16.5,2015/08/07(15:00)
2015,07,30,96828,89654,76696,12958,16.9,2015/07/30(15:00)
2015,06,24,95681,84047,69882,14165,20.3,2015/06/24(15:00)
2015,05,29,95681,76874,67107,9767,14.6,2015/05/29(15:00)
2015,04,08,95365,79635,66582,13053,19.6,2015/04/08(10:00)
2015,03,10,94102,84910,75375,9535,12.7,2015/03/10(01:00)
2015,02,09,94102,87926,78790,9136,11.6,2015/02/09(11:00)
2015,01,08,92825,90501,77796,12705,16.3,2015/01/08(10:00)
2014,12,17,93216,89357,80154,9203,11.5,2014/12/17(11:00)
2014,11,19,92845,77899,69334,8565,12.4,2014/11/19(10:00)
2014,10,28,91196,78754,64811,13943,21.5,2014/10/28(19:00)
2014,09,01,90204,81039,69406,11633,16.8,2014/09/01(15:00)
2014,08,26,90160,82142,70689,11453,16.2,2014/08/26(01:00)
2014,07,25,88673,84128,76054,8074,10.6,2014/07/25(15:00)
2014,06,30,87948,76831,69801,7030,10.1,2014/06/30(15:00)
2014,05,30,87678,74574,67424,7150,10.6,2014/05/30(15:00)
2014,04,04,87334,71291,63757,7534,11.8,2014/04/04(11:00)
2014,03,07,87171,78016,72167,5849,8.1,2014/03/07(10:00)
2014,02,05,87171,83333,77295,6038,7.8,2014/02/05(10:00)
2014,01,21,86969,84080,76751,7329,9.5,2014/01/21(11:00)
2013,12,16,86969,81270,75681,5589,7.4,2013/12/16(11:00)
2013,11,28,86333,78870,72686,6184,8.5,2013/11/28(10:00)
2013,10,07,86136,70074,64911,5163,8,2013/10/07(19:00)
2013,09,13,86136,76337,67689,8648,12.8,2013/09/13(15:00)
2013,08,19,86136,78734,74015,4719,6.4,2013/08/19(15:00)
2013,07,19,85358,76473,72112,4361,6,2013/07/19(15:00)
2013,06,27,83749,73565,68472,5093,7.4,2013/06/27(15:00)
2013,05,28,83465,68910,63029,5881,9.3,2013/05/28(15:00)
2013,04,02,83295,70225,64872,5353,8.3,2013/04/02(10:00)
2013,03,04,82520,76523,69653,6870,9.9,2013/03/04(11:00)
2013,02,08,82296,79482,74196,5286,7.1,2013/02/08(01:00)
2013,01,03,82296,80713,76522,4191,5.5,2013/01/03(11:00)
2012,12,26,81806,79972,75987,3985,5.2,2012/12/26(11:00)
2012,11,29,81738,75940,69062,6878,10,2012/11/29(11:00)
2012,10,23,81593,68349,61622,6727,10.9,2012/10/23(19:00)
2012,09,03,81552,77111,67693,9418,13.9,2012/09/03(15:00)
2012,08,06,81552,77082,74291,2791,3.8,2012/08/06(15:00)
2012,07,24,80552,77324,72913,4411,6,2012/07/24(15:00)
2012,06,29,79552,71823,67390,4433,6.6,2012/06/29(15:00)
2012,05,23,79432,65529,61029,4500,7.4,2012/05/23(15:00)
2012,04,03,79432,69474,64390,5084,7.9,2012/04/03(11:00)
2012,03,12,79648,75420,69180,6240,9,2012/03/12(11:00)
2012,02,02,79342,79505,73833,5672,7.7,2012/02/02(11:00)
2012,01,04,79342,78969,72865,6104,8.4,2012/01/04(10:00)
2011,12,27,79342,79705,72554,7151,9.9,2011/12/27(10:00)
2011,11,24,79213,75460,67554,7906,11.7,2011/11/24(18:00)
2011,10,25,78813,71261,62575,8686,13.9,2011/10/25(19:00)
2011,09,02,79246,76885,71061,5824,8.2,2011/09/02(15:00)
2011,08,31,79246,77636,72194,5442,7.5,2011/08/31(15:00)
2011,07,19,78810,78838,71393,7445,10.4,2011/07/19(15:00)
2011,06,20,78810,72091,66872,5219,7.8,2011/06/20(15:00)
2011,05,20,78235,68361,59355,9006,15.2,2011/05/20(15:00)
2011,04,07,78235,70371,61400,8971,14.6,2011/04/07(11:00)
2011,03,04,78235,72432,67320,5112,7.6,2011/03/04(11:00)
2011,02,14,76649,75729,71002,4727,6.7,2011/02/14(11:00)
2011,01,17,76131,77179,73137,4042,5.5,2011/01/17(12:00)
2010,12,15,76078,75747,71308,4439,6.2,2010/12/15(18:00)
2010,11,29,75950,71710,64984,6726,10.4,2010/11/29(11:00)
2010,10,26,75712,67227,60330,6897,11.4,2010/10/26(19:00)
2010,09,01,74407,73054,68842,4212,6.1,2010/09/01(15:00)
2010,08,20,74407,74344,69886,4458,6.4,2010/08/20(15:00)
2010,07,22,74407,73325,67619,5706,8.4,2010/07/22(15:00)
2010,06,25,74407,71565,62828,8737,13.9,2010/06/25(15:00)
2010,05,20,73673,65579,55393,10186,18.4,2010/05/20(15:00)
2010,04,28,73673,65956,58766,7190,12.2,2010/04/28(15:00)
2010,03,10,73470,68648,63520,5128,8.1,2010/03/10(11:00)
2010,02,03,73470,73013,67158,5855,8.7,2010/02/03(11:00)
2010,01,13,73470,73722,68963,4759,6.9,2010/01/13(12:00)
2009,12,18,73310,72071,66797,5274,7.9,2009/12/18(18:00)
2009,11,17,73146,68901,62315,6586,10.6,2009/11/17(19:00)
2009,10,27,73146,67255,55103,12152,22.1,2009/10/27(19:00)
2009,09,07,73372,67097,60624,6473,10.7,2009/09/07(15:00)
2009,08,19,73372,72632,63212,9420,14.9,2009/08/19(15:00)
2009,07,20,73372,72113,60801,11312,18.6,2009/07/20(15:00)
2009,06,29,73697,68363,60129,8234,13.7,2009/06/29(15:00)
2009,05,27,73148,67760,53197,14563,27.4,2009/05/27(15:00)
2009,04,01,72629,64373,54063,10310,19.1,2009/04/01(11:00)
2009,03,03,72480,66650,58047,8603,14.8,2009/03/03(11:00)
2009,02,17,72480,68667,59849,8818,14.7,2009/02/17(11:00)
2009,01,12,72480,68748,62645,6103,9.7,2009/01/12(12:00)
2008,12,22,71989,69627,58636,10991,18.7,2008/12/22(18:00)
2008,11,20,70532,66372,57842,8530,14.7,2008/11/20(11:00)
2008,10,23,70532,61651,53232,8419,15.8,2008/10/23(19:00)
2008,09,18,70353,63772,58510,5262,9,2008/09/18(15:00)
2008,08,11,70353,71155,62511,8644,13.8,2008/08/11(15:00)
2008,07,15,70353,68519,62794,5725,9.1,2008/07/15(15:00)
2008,06,27,70353,67065,55504,11561,20.8,2008/06/27(15:00)
2008,05,29,68888,62386,52633,9753,18.5,2008/05/29(15:00)
2008,04,02,68888,63953,52796,11157,21.1,2008/04/02(11:00)
2008,03,04,68818,65771,56791,8980,15.8,2008/03/04(11:00)
2008,02,13,68275,66308,60742,5566,9.2,2008/02/13(11:00)
2008,01,17,68268,65682,60947,4735,7.8,2008/01/17(12:00)
